1,Gebäude A,HDMI-Kabel im Raum K21 defekt und muss repariert oder ersetzt werden.,Pending
2,Gebäude C,Verkabelung von PC und Beamer im Raum muss richtiggestellt werden.,Pending
3,Sporthalle,"Probleme mit der Maus im Raum PR2, die entweder repariert oder ausgetauscht werden muss.",Pending
4,Gebäude A,Neue Geräte müssen in den Klassenräumen aufgestellt werden.,Pending
5,Gebäude A,Die Netzwerkverbindung im Raum SW2 ist zu langsam und sollte verbessert werden.,Pending
6,Gebäude A,"Die Verkabelung im Raum SW2 muss geändert werden, um eine bessere Netzwerkverbindung zu ermöglichen.",Pending
7,Toiletten,Die Türen sind kaputt und müssen repariert oder ersetzt werden.,Pending
8,Gebäude A,Die Steckdosen im Raum K21 sind defekt und müssen repariert oder ersetzt werden.,Pending
9,Gebäude A,"Ein Elektrotechniker muss beauftragt werden, um die elektrischen Probleme zu beheben.",Pending
10,Gebäude C,Die Schlösser in der Schule sind kaputt und müssen entweder repariert oder ersetzt werden.,Pending
11,Nachbargebäude,"Es fehlt eine Tür zu den Herren-Toiletten, die installiert werden muss.",Pending
12,Toiletten,Die Toiletten müssen insgesamt einer vollständigen Kontrolle unterzogen werden.,Pending
13,Klassenräume,Einige Klassenräume sind ohne wichtige Ausstattungen wie Uhren und Whiteboards.,Pending
14,Toiletten,"In den Toiletten fehlt Toilettenpapier, welches regelmäßig nachgefüllt werden muss.",In Progress
15,Sporthalle,Die Sportgeräte sind teilweise kaputt und müssen repariert oder ersetzt werden.,Pending
16,Schule,Die Wände sind verschmiert und sollten gereinigt oder gestrichen werden.,Pending
17,Schule,"Es gibt defekte Lampen in der Schule, die repariert oder ersetzt werden müssen.",Pending
18,Gebäude A,Einige Stühle und Tische in den Klassenräumen sind kaputt und sollten ersetzt werden.,Pending
19,Labor,"Es gibt Probleme mit den Laborgeräten, die repariert oder ersetzt werden müssen.",Pending
20,Wasserversorgung,Die Trinkwasseranlage muss überprüft und ggf. in den Wasserkreislauf investiert werden.,Pending
21,Schule,Es müssen neue Schränke und Stühle aufgestellt werden.,Pending
22,Flur,Die Decke ist schimmelig und muss saniert werden.,Pending
23,K24,Die Wand ist gebrochen und muss repariert werden.,Pending
24,S-Lab,Die Tür ist kaputt und muss repariert werden.,Pending
25,2. Stock,Die Toilette stinkt und benötigt regelmäßige Kontrolle und Reinigung.,In Progress
